timestamp,sensor_id,sensor_type,value,factory,line,status
2026-04-26 10:34:57.496415,sensor_0036,vibration,53.74,Factory-D,Line-3,OK
2026-04-26 10:34:58.496415,sensor_0339,temperature,51.43,Factory-D,Line-1,OK
2026-04-26 10:34:59.496415,sensor_0706,humidity,91.28,Factory-D,Line-2,ERROR
2026-04-26 10:35:00.496415,sensor_0309,temperature,55.18,Factory-C,Line-3,OK
2026-04-26 10:35:01.496415,sensor_0318,pressure,79.67,Factory-A,Line-2,WARN
2026-04-26 10:35:02.496415,sensor_0910,pressure,169.19,Factory-C,Line-1,ERROR
2026-04-26 10:35:03.496415,sensor_0883,vibration,62.46,Factory-C,Line-3,ERROR
2026-04-26 10:35:04.496415,sensor_0231,pressure,84.42,Factory-D,Line-2,WARN
2026-04-26 10:35:05.496415,sensor_0297,temperature,122.5,Factory-A,Line-3,ERROR
2026-04-26 10:35:06.496415,sensor_0076,temperature,36.38,Factory-B,Line-3,OK
2026-04-26 10:35:07.496415,sensor_0849,temperature,98.39,Factory-A,Line-4,WARN
2026-04-26 10:35:08.496415,sensor_0961,humidity,66.64,Factory-C,Line-3,OK
2026-04-26 10:35:09.496415,sensor_0514,pressure,160.43,Factory-C,Line-3,ERROR
2026-04-26 10:35:10.496415,sensor_0385,pressure,93.32,Factory-C,Line-3,WARN
2026-04-26 10:35:11.496415,sensor_0175,humidity,21.73,Factory-A,Line-1,OK
2026-04-26 10:35:12.496415,sensor_0766,pressure,124.65,Factory-C,Line-1,WARN
2026-04-26 10:35:13.496415,sensor_0154,pressure,153.65,Factory-A,Line-1,ERROR
2026-04-26 10:35:14.496415,sensor_0927,pressure,124.57,Factory-A,Line-3,WARN
2026-04-26 10:35:15.496415,sensor_0604,humidity,20.24,Factory-C,Line-2,OK
2026-04-26 10:35:16.496415,sensor_0184,pressure,72.96,Factory-C,Line-1,WARN
2026-04-26 10:35:17.496415,sensor_0908,vibration,78.66,Factory-D,Line-3,ERROR
2026-04-26 10:35:18.496415,sensor_0114,pressure,102.93,Factory-C,Line-4,WARN
2026-04-26 10:35:19.496415,sensor_0850,humidity,50.52,Factory-A,Line-3,OK
2026-04-26 10:35:20.496415,sensor_0363,temperature,127.95,Factory-A,Line-1,ERROR
2026-04-26 10:35:21.496415,sensor_0949,humidity,81.25,Factory-D,Line-3,ERROR
2026-04-26 10:35:22.496415,sensor_0680,pressure,138.09,Factory-B,Line-3,WARN
2026-04-26 10:35:23.496415,sensor_0589,humidity,45.15,Factory-B,Line-3,OK
2026-04-26 10:35:24.496415,sensor_0917,vibration,63.41,Factory-A,Line-1,ERROR
2026-04-26 10:35:25.496415,sensor_0050,temperature,40.14,Factory-B,Line-2,OK
2026-04-26 10:35:26.496415,sensor_0609,temperature,65.71,Factory-D,Line-1,OK
2026-04-26 10:35:27.496415,sensor_0538,pressure,132.21,Factory-C,Line-2,WARN
2026-04-26 10:35:28.496415,sensor_0980,pressure,82.7,Factory-B,Line-1,WARN
2026-04-26 10:35:29.496415,sensor_0002,temperature,88.68,Factory-A,Line-3,WARN
2026-04-26 10:35:30.496415,sensor_0518,vibration,41.99,Factory-C,Line-2,OK
2026-04-26 10:35:31.496415,sensor_0253,humidity,94.19,Factory-C,Line-4,ERROR
2026-04-26 10:35:32.496415,sensor_0072,humidity,77.38,Factory-C,Line-2,WARN
2026-04-26 10:35:33.496415,sensor_0015,pressure,64.07,Factory-C,Line-2,OK
2026-04-26 10:35:34.496415,sensor_0565,vibration,64.38,Factory-B,Line-4,ERROR
2026-04-26 10:35:35.496415,sensor_0734,vibration,18.05,Factory-D,Line-4,OK
2026-04-26 10:35:36.496415,sensor_0804,humidity,66.04,Factory-D,Line-3,OK
2026-04-26 10:35:37.496415,sensor_0259,humidity,92.56,Factory-B,Line-3,ERROR
2026-04-26 10:35:38.496415,sensor_0560,vibration,28.96,Factory-A,Line-4,OK
2026-04-26 10:35:39.496415,sensor_0394,pressure,99.91,Factory-B,Line-4,WARN
2026-04-26 10:35:40.496415,sensor_0892,pressure,134.02,Factory-A,Line-4,WARN
2026-04-26 10:35:41.496415,sensor_0801,pressure,61.27,Factory-B,Line-1,OK
2026-04-26 10:35:42.496415,sensor_0980,vibration,40.67,Factory-C,Line-2,OK
2026-04-26 10:35:43.496415,sensor_0985,temperature,65.02,Factory-D,Line-2,OK
2026-04-26 10:35:44.496415,sensor_0567,temperature,49.98,Factory-D,Line-3,OK
2026-04-26 10:35:45.496415,sensor_0822,temperature,114.88,Factory-B,Line-3,ERROR
2026-04-26 10:35:46.496415,sensor_0109,pressure,64.64,Factory-B,Line-2,OK
2026-04-26 10:35:47.496415,sensor_0146,temperature,114.88,Factory-A,Line-4,ERROR
2026-04-26 10:35:48.496415,sensor_0317,humidity,94.65,Factory-C,Line-1,ERROR
2026-04-26 10:35:49.496415,sensor_0038,humidity,50.05,Factory-B,Line-3,OK
2026-04-26 10:35:50.496415,sensor_0797,temperature,106.52,Factory-B,Line-3,ERROR
2026-04-26 10:35:51.496415,sensor_0997,vibration,75.38,Factory-D,Line-1,ERROR
2026-04-26 10:35:52.496415,sensor_0084,vibration,15.66,Factory-C,Line-4,OK
2026-04-26 10:35:53.496415,sensor_0946,humidity,88.77,Factory-D,Line-4,ERROR
2026-04-26 10:35:54.496415,sensor_0820,pressure,93.79,Factory-C,Line-2,WARN
2026-04-26 10:35:55.496415,sensor_0281,pressure,97.72,Factory-C,Line-2,WARN
2026-04-26 10:35:56.496415,sensor_0343,humidity,30.85,Factory-A,Line-4,OK
2026-04-26 10:35:57.496415,sensor_0358,pressure,111.96,Factory-D,Line-4,WARN
2026-04-26 10:35:58.496415,sensor_0610,vibration,70.49,Factory-A,Line-3,ERROR
2026-04-26 10:35:59.496415,sensor_0606,humidity,22.7,Factory-D,Line-1,OK
2026-04-26 10:36:00.496415,sensor_0580,temperature,113.94,Factory-D,Line-2,ERROR
2026-04-26 10:36:01.496415,sensor_0446,humidity,52.7,Factory-A,Line-3,OK
2026-04-26 10:36:02.496415,sensor_0493,vibration,18.42,Factory-D,Line-1,OK
2026-04-26 10:36:03.496415,sensor_0185,temperature,86.86,Factory-A,Line-3,WARN
2026-04-26 10:36:04.496415,sensor_0835,humidity,30.48,Factory-B,Line-4,OK
2026-04-26 10:36:05.496415,sensor_0073,pressure,128.09,Factory-D,Line-4,WARN
2026-04-26 10:36:06.496415,sensor_0823,pressure,166.15,Factory-D,Line-3,ERROR
2026-04-26 10:36:07.496415,sensor_0109,temperature,71.98,Factory-C,Line-2,WARN
2026-04-26 10:36:08.496415,sensor_0323,pressure,147.29,Factory-A,Line-2,WARN
2026-04-26 10:36:09.496415,sensor_0743,pressure,109.49,Factory-A,Line-3,WARN
2026-04-26 10:36:10.496415,sensor_0571,vibration,34.03,Factory-D,Line-2,OK
2026-04-26 10:36:11.496415,sensor_0477,vibration,14.47,Factory-D,Line-3,OK
2026-04-26 10:36:12.496415,sensor_0956,humidity,34.34,Factory-C,Line-1,OK
2026-04-26 10:36:13.496415,sensor_0139,temperature,57.33,Factory-C,Line-3,OK
2026-04-26 10:36:14.496415,sensor_0487,pressure,172.6,Factory-B,Line-3,ERROR
2026-04-26 10:36:15.496415,sensor_0204,pressure,176.28,Factory-D,Line-4,ERROR
2026-04-26 10:36:16.496415,sensor_0112,vibration,18.25,Factory-C,Line-2,OK
2026-04-26 10:36:17.496415,sensor_0895,humidity,85.29,Factory-A,Line-3,ERROR
2026-04-26 10:36:18.496415,sensor_0257,pressure,107.16,Factory-B,Line-4,WARN
2026-04-26 10:36:19.496415,sensor_0735,vibration,20.07,Factory-C,Line-4,OK
2026-04-26 10:36:20.496415,sensor_0185,temperature,101.45,Factory-C,Line-2,ERROR
2026-04-26 10:36:21.496415,sensor_0944,pressure,110.52,Factory-C,Line-4,WARN
2026-04-26 10:36:22.496415,sensor_0035,temperature,50.08,Factory-A,Line-1,OK
2026-04-26 10:36:23.496415,sensor_0063,vibration,7.82,Factory-C,Line-2,OK
2026-04-26 10:36:24.496415,sensor_0237,temperature,45.75,Factory-D,Line-3,OK
2026-04-26 10:36:25.496415,sensor_0968,pressure,81.13,Factory-B,Line-2,WARN
2026-04-26 10:36:26.496415,sensor_0125,temperature,34.12,Factory-C,Line-1,OK
2026-04-26 10:36:27.496415,sensor_0629,pressure,132.34,Factory-C,Line-1,WARN
2026-04-26 10:36:28.496415,sensor_0823,vibration,47.42,Factory-A,Line-3,OK
2026-04-26 10:36:29.496415,sensor_0876,temperature,95.66,Factory-B,Line-3,WARN
2026-04-26 10:36:30.496415,sensor_0203,temperature,118.94,Factory-B,Line-2,ERROR
2026-04-26 10:36:31.496415,sensor_0377,vibration,62.82,Factory-D,Line-3,ERROR
2026-04-26 10:36:32.496415,sensor_0121,temperature,85.1,Factory-D,Line-1,WARN
2026-04-26 10:36:33.496415,sensor_0928,pressure,147.36,Factory-D,Line-1,WARN
2026-04-26 10:36:34.496415,sensor_0053,pressure,109.43,Factory-C,Line-4,WARN
2026-04-26 10:36:35.496415,sensor_0780,vibration,0.19,Factory-B,Line-1,OK
2026-04-26 10:36:36.496415,sensor_0047,humidity,48.53,Factory-C,Line-3,OK
2026-04-26 10:36:37.496415,sensor_0435,vibration,26.79,Factory-C,Line-1,OK
2026-04-26 10:36:38.496415,sensor_0883,vibration,41.11,Factory-C,Line-2,OK
2026-04-26 10:36:39.496415,sensor_0779,humidity,27.48,Factory-C,Line-2,OK
2026-04-26 10:36:40.496415,sensor_0798,vibration,18.97,Factory-B,Line-2,OK
2026-04-26 10:36:41.496415,sensor_0128,pressure,150.71,Factory-C,Line-4,ERROR
2026-04-26 10:36:42.496415,sensor_0401,temperature,125.22,Factory-A,Line-1,ERROR
2026-04-26 10:36:43.496415,sensor_0126,temperature,34.66,Factory-C,Line-3,OK
2026-04-26 10:36:44.496415,sensor_0861,humidity,44.59,Factory-A,Line-4,OK
2026-04-26 10:36:45.496415,sensor_0805,temperature,73.75,Factory-D,Line-2,WARN
2026-04-26 10:36:46.496415,sensor_0747,vibration,18.96,Factory-C,Line-4,OK
2026-04-26 10:36:47.496415,sensor_0064,pressure,70.81,Factory-D,Line-3,WARN
2026-04-26 10:36:48.496415,sensor_0457,humidity,84.87,Factory-B,Line-4,ERROR
2026-04-26 10:36:49.496415,sensor_0695,pressure,90.0,Factory-C,Line-1,WARN
2026-04-26 10:36:50.496415,sensor_0089,humidity,67.18,Factory-A,Line-3,OK
2026-04-26 10:36:51.496415,sensor_0770,vibration,73.49,Factory-A,Line-1,ERROR
2026-04-26 10:36:52.496415,sensor_0601,humidity,49.12,Factory-D,Line-4,OK
2026-04-26 10:36:53.496415,sensor_0058,pressure,98.21,Factory-A,Line-2,WARN
2026-04-26 10:36:54.496415,sensor_0606,humidity,55.62,Factory-B,Line-4,OK
2026-04-26 10:36:55.496415,sensor_0547,temperature,42.41,Factory-C,Line-1,OK
2026-04-26 10:36:56.496415,sensor_0360,pressure,176.13,Factory-C,Line-2,ERROR
2026-04-26 10:36:57.496415,sensor_0890,temperature,57.6,Factory-D,Line-3,OK
2026-04-26 10:36:58.496415,sensor_0438,temperature,78.36,Factory-A,Line-1,WARN
2026-04-26 10:36:59.496415,sensor_0935,pressure,122.85,Factory-C,Line-2,WARN
2026-04-26 10:37:00.496415,sensor_0822,vibration,20.4,Factory-D,Line-1,OK
2026-04-26 10:37:01.496415,sensor_0404,pressure,141.88,Factory-A,Line-4,WARN
2026-04-26 10:37:02.496415,sensor_0646,humidity,34.5,Factory-C,Line-4,OK
2026-04-26 10:37:03.496415,sensor_0016,temperature,72.16,Factory-A,Line-3,WARN
2026-04-26 10:37:04.496415,sensor_0198,temperature,107.02,Factory-C,Line-3,ERROR
2026-04-26 10:37:05.496415,sensor_0332,vibration,39.48,Factory-D,Line-1,OK
2026-04-26 10:37:06.496415,sensor_0167,vibration,7.3,Factory-A,Line-1,OK
2026-04-26 10:37:07.496415,sensor_0031,temperature,60.93,Factory-A,Line-4,OK
2026-04-26 10:37:08.496415,sensor_0779,vibration,52.82,Factory-C,Line-2,OK
2026-04-26 10:37:09.496415,sensor_0237,pressure,160.35,Factory-A,Line-2,ERROR
2026-04-26 10:37:10.496415,sensor_0784,pressure,163.51,Factory-C,Line-3,ERROR
2026-04-26 10:37:11.496415,sensor_0592,humidity,25.73,Factory-D,Line-2,OK
2026-04-26 10:37:12.496415,sensor_0242,temperature,40.04,Factory-C,Line-4,OK
2026-04-26 10:37:13.496415,sensor_0899,humidity,78.55,Factory-A,Line-2,WARN
2026-04-26 10:37:14.496415,sensor_0107,pressure,58.22,Factory-D,Line-1,OK
2026-04-26 10:37:15.496415,sensor_0439,pressure,104.07,Factory-C,Line-3,WARN
2026-04-26 10:37:16.496415,sensor_0634,temperature,26.71,Factory-B,Line-3,OK
2026-04-26 10:37:17.496415,sensor_0802,pressure,100.13,Factory-D,Line-1,WARN
2026-04-26 10:37:18.496415,sensor_0472,vibration,41.28,Factory-C,Line-1,OK
2026-04-26 10:37:19.496415,sensor_0843,humidity,46.6,Factory-D,Line-1,OK
2026-04-26 10:37:20.496415,sensor_0315,vibration,37.02,Factory-A,Line-4,OK
2026-04-26 10:37:21.496415,sensor_0975,temperature,65.1,Factory-B,Line-1,OK
2026-04-26 10:37:22.496415,sensor_0073,humidity,26.63,Factory-C,Line-3,OK
2026-04-26 10:37:23.496415,sensor_0756,vibration,31.03,Factory-C,Line-2,OK
2026-04-26 10:37:24.496415,sensor_0323,humidity,76.3,Factory-C,Line-1,WARN
2026-04-26 10:37:25.496415,sensor_0807,temperature,109.35,Factory-C,Line-4,ERROR
2026-04-26 10:37:26.496415,sensor_0286,vibration,71.57,Factory-B,Line-2,ERROR
2026-04-26 10:37:27.496415,sensor_0803,temperature,107.17,Factory-B,Line-2,ERROR
2026-04-26 10:37:28.496415,sensor_0914,temperature,115.85,Factory-B,Line-1,ERROR
2026-04-26 10:37:29.496415,sensor_0316,temperature,58.5,Factory-A,Line-4,OK
2026-04-26 10:37:30.496415,sensor_0881,pressure,171.08,Factory-B,Line-2,ERROR
2026-04-26 10:37:31.496415,sensor_0124,pressure,51.86,Factory-A,Line-2,OK
2026-04-26 10:37:32.496415,sensor_0146,pressure,57.89,Factory-C,Line-3,OK
2026-04-26 10:37:33.496415,sensor_0026,pressure,114.24,Factory-D,Line-2,WARN
2026-04-26 10:37:34.496415,sensor_0223,pressure,102.62,Factory-C,Line-1,WARN
2026-04-26 10:37:35.496415,sensor_0592,pressure,130.38,Factory-A,Line-2,WARN
2026-04-26 10:37:36.496415,sensor_0436,humidity,94.34,Factory-D,Line-2,ERROR
2026-04-26 10:37:37.496415,sensor_0944,temperature,24.51,Factory-B,Line-2,OK
2026-04-26 10:37:38.496415,sensor_0135,humidity,23.23,Factory-D,Line-3,OK
2026-04-26 10:37:39.496415,sensor_0314,humidity,23.69,Factory-C,Line-3,OK
2026-04-26 10:37:40.496415,sensor_0071,temperature,92.32,Factory-A,Line-4,WARN
2026-04-26 10:37:41.496415,sensor_0479,pressure,117.84,Factory-A,Line-4,WARN
2026-04-26 10:37:42.496415,sensor_0337,vibration,55.8,Factory-C,Line-2,OK
2026-04-26 10:37:43.496415,sensor_0236,humidity,34.45,Factory-A,Line-2,OK
2026-04-26 10:37:44.496415,sensor_0539,temperature,101.18,Factory-A,Line-3,ERROR
2026-04-26 10:37:45.496415,sensor_0546,temperature,124.29,Factory-B,Line-1,ERROR
2026-04-26 10:37:46.496415,sensor_0499,pressure,88.07,Factory-B,Line-2,WARN
2026-04-26 10:37:47.496415,sensor_0950,temperature,84.23,Factory-C,Line-1,WARN
2026-04-26 10:37:48.496415,sensor_0040,pressure,76.71,Factory-A,Line-1,WARN
2026-04-26 10:37:49.496415,sensor_0498,temperature,104.42,Factory-A,Line-4,ERROR
2026-04-26 10:37:50.496415,sensor_0260,vibration,59.36,Factory-A,Line-4,OK
2026-04-26 10:37:51.496415,sensor_1000,vibration,79.75,Factory-B,Line-4,ERROR
2026-04-26 10:37:52.496415,sensor_0115,pressure,95.0,Factory-C,Line-3,WARN
2026-04-26 10:37:53.496415,sensor_0063,pressure,102.49,Factory-D,Line-4,WARN
2026-04-26 10:37:54.496415,sensor_0903,temperature,123.11,Factory-A,Line-2,ERROR
2026-04-26 10:37:55.496415,sensor_0769,vibration,15.09,Factory-B,Line-1,OK
2026-04-26 10:37:56.496415,sensor_0078,temperature,50.42,Factory-D,Line-4,OK
2026-04-26 10:37:57.496415,sensor_0519,temperature,80.46,Factory-D,Line-3,WARN
2026-04-26 10:37:58.496415,sensor_0433,temperature,91.98,Factory-B,Line-4,WARN
2026-04-26 10:37:59.496415,sensor_0356,humidity,20.33,Factory-B,Line-3,OK
2026-04-26 10:38:00.496415,sensor_0035,pressure,87.96,Factory-B,Line-4,WARN
2026-04-26 10:38:01.496415,sensor_0372,pressure,125.33,Factory-B,Line-1,WARN
2026-04-26 10:38:02.496415,sensor_0054,temperature,88.98,Factory-D,Line-3,WARN
2026-04-26 10:38:03.496415,sensor_0700,pressure,137.36,Factory-B,Line-1,WARN
2026-04-26 10:38:04.496415,sensor_0090,humidity,80.94,Factory-D,Line-4,ERROR
2026-04-26 10:38:05.496415,sensor_0150,pressure,149.8,Factory-B,Line-2,WARN
2026-04-26 10:38:06.496415,sensor_0417,vibration,63.57,Factory-D,Line-4,ERROR
2026-04-26 10:38:07.496415,sensor_0203,vibration,65.58,Factory-D,Line-4,ERROR
2026-04-26 10:38:08.496415,sensor_0075,humidity,41.73,Factory-B,Line-2,OK
2026-04-26 10:38:09.496415,sensor_0219,temperature,108.16,Factory-D,Line-3,ERROR
2026-04-26 10:38:10.496415,sensor_0314,vibration,69.74,Factory-C,Line-4,ERROR
2026-04-26 10:38:11.496415,sensor_0569,humidity,90.99,Factory-B,Line-2,ERROR
2026-04-26 10:38:12.496415,sensor_0103,vibration,21.27,Factory-C,Line-4,OK
2026-04-26 10:38:13.496415,sensor_0113,temperature,60.17,Factory-D,Line-4,OK
2026-04-26 10:38:14.496415,sensor_0982,vibration,12.7,Factory-A,Line-1,OK
2026-04-26 10:38:15.496415,sensor_0380,temperature,53.44,Factory-D,Line-2,OK
2026-04-26 10:38:16.496415,sensor_0882,humidity,81.05,Factory-C,Line-1,ERROR
2026-04-26 10:38:17.496415,sensor_0203,temperature,110.31,Factory-C,Line-3,ERROR
2026-04-26 10:38:18.496415,sensor_0757,pressure,80.94,Factory-D,Line-2,WARN
2026-04-26 10:38:19.496415,sensor_0689,humidity,26.22,Factory-D,Line-3,OK
2026-04-26 10:38:20.496415,sensor_0806,pressure,139.73,Factory-D,Line-2,WARN
2026-04-26 10:38:21.496415,sensor_0422,temperature,49.88,Factory-C,Line-1,OK
2026-04-26 10:38:22.496415,sensor_0293,pressure,160.86,Factory-C,Line-4,ERROR
2026-04-26 10:38:23.496415,sensor_0689,pressure,151.85,Factory-A,Line-4,ERROR
2026-04-26 10:38:24.496415,sensor_0681,humidity,22.44,Factory-D,Line-2,OK
2026-04-26 10:38:25.496415,sensor_0048,humidity,44.33,Factory-C,Line-4,OK
2026-04-26 10:38:26.496415,sensor_0044,temperature,30.02,Factory-C,Line-2,OK
2026-04-26 10:38:27.496415,sensor_0575,temperature,112.77,Factory-B,Line-3,ERROR
2026-04-26 10:38:28.496415,sensor_0124,temperature,36.1,Factory-D,Line-3,OK
2026-04-26 10:38:29.496415,sensor_0065,temperature,45.02,Factory-C,Line-2,OK
2026-04-26 10:38:30.496415,sensor_0840,humidity,35.45,Factory-D,Line-4,OK
2026-04-26 10:38:31.496415,sensor_0128,temperature,103.17,Factory-D,Line-3,ERROR
2026-04-26 10:38:32.496415,sensor_0357,pressure,127.53,Factory-D,Line-2,WARN
2026-04-26 10:38:33.496415,sensor_0386,vibration,70.14,Factory-D,Line-3,ERROR
2026-04-26 10:38:34.496415,sensor_0332,humidity,71.59,Factory-B,Line-1,WARN
2026-04-26 10:38:35.496415,sensor_0905,vibration,50.49,Factory-D,Line-2,OK
2026-04-26 10:38:36.496415,sensor_0888,vibration,76.99,Factory-D,Line-2,ERROR
2026-04-26 10:38:37.496415,sensor_0612,temperature,55.49,Factory-C,Line-2,OK
2026-04-26 10:38:38.496415,sensor_0619,temperature,32.32,Factory-A,Line-1,OK
2026-04-26 10:38:39.496415,sensor_0624,vibration,31.73,Factory-C,Line-3,OK
2026-04-26 10:38:40.496415,sensor_0631,temperature,115.21,Factory-C,Line-2,ERROR
2026-04-26 10:38:41.496415,sensor_0289,vibration,23.06,Factory-D,Line-3,OK
2026-04-26 10:38:42.496415,sensor_0959,vibration,59.25,Factory-D,Line-2,OK
2026-04-26 10:38:43.496415,sensor_0095,pressure,139.97,Factory-D,Line-1,WARN
2026-04-26 10:38:44.496415,sensor_0556,temperature,34.68,Factory-B,Line-4,OK
2026-04-26 10:38:45.496415,sensor_0762,temperature,64.6,Factory-A,Line-3,OK
2026-04-26 10:38:46.496415,sensor_0682,humidity,74.2,Factory-D,Line-1,WARN
2026-04-26 10:38:47.496415,sensor_0228,pressure,172.16,Factory-B,Line-3,ERROR
2026-04-26 10:38:48.496415,sensor_0707,temperature,100.47,Factory-D,Line-3,ERROR
2026-04-26 10:38:49.496415,sensor_0715,temperature,52.02,Factory-C,Line-2,OK
2026-04-26 10:38:50.496415,sensor_0184,pressure,153.98,Factory-D,Line-2,ERROR
2026-04-26 10:38:51.496415,sensor_0457,vibration,72.48,Factory-C,Line-1,ERROR
2026-04-26 10:38:52.496415,sensor_0029,humidity,81.63,Factory-C,Line-4,ERROR
2026-04-26 10:38:53.496415,sensor_0937,pressure,94.13,Factory-B,Line-4,WARN
2026-04-26 10:38:54.496415,sensor_0488,temperature,118.3,Factory-D,Line-2,ERROR
2026-04-26 10:38:55.496415,sensor_0282,pressure,106.85,Factory-D,Line-2,WARN
2026-04-26 10:38:56.496415,sensor_0437,pressure,63.12,Factory-A,Line-2,OK
2026-04-26 10:38:57.496415,sensor_0251,vibration,1.74,Factory-A,Line-1,OK
2026-04-26 10:38:58.496415,sensor_0698,pressure,168.64,Factory-D,Line-1,ERROR
2026-04-26 10:38:59.496415,sensor_0681,pressure,93.67,Factory-B,Line-3,WARN
2026-04-26 10:39:00.496415,sensor_0961,humidity,65.71,Factory-C,Line-1,OK
2026-04-26 10:39:01.496415,sensor_0163,vibration,64.67,Factory-C,Line-4,ERROR
2026-04-26 10:39:02.496415,sensor_0546,humidity,81.88,Factory-D,Line-2,ERROR
2026-04-26 10:39:03.496415,sensor_0684,vibration,54.16,Factory-C,Line-3,OK
2026-04-26 10:39:04.496415,sensor_0069,humidity,82.08,Factory-D,Line-2,ERROR
2026-04-26 10:39:05.496415,sensor_0109,temperature,89.38,Factory-B,Line-1,WARN
2026-04-26 10:39:06.496415,sensor_0083,vibration,43.25,Factory-C,Line-1,OK
2026-04-26 10:39:07.496415,sensor_0595,humidity,66.81,Factory-C,Line-2,OK
2026-04-26 10:39:08.496415,sensor_0939,pressure,100.09,Factory-A,Line-1,WARN
2026-04-26 10:39:09.496415,sensor_0207,temperature,59.56,Factory-C,Line-4,OK
2026-04-26 10:39:10.496415,sensor_0952,temperature,26.07,Factory-B,Line-4,OK
2026-04-26 10:39:11.496415,sensor_0641,pressure,159.12,Factory-B,Line-3,ERROR
2026-04-26 10:39:12.496415,sensor_0716,temperature,76.46,Factory-A,Line-2,WARN
2026-04-26 10:39:13.496415,sensor_0267,temperature,72.57,Factory-D,Line-4,WARN
2026-04-26 10:39:14.496415,sensor_0209,temperature,82.71,Factory-A,Line-1,WARN
2026-04-26 10:39:15.496415,sensor_0313,humidity,64.15,Factory-B,Line-3,OK
2026-04-26 10:39:16.496415,sensor_0544,pressure,134.28,Factory-B,Line-2,WARN
2026-04-26 10:39:17.496415,sensor_0745,temperature,122.71,Factory-D,Line-3,ERROR
2026-04-26 10:39:18.496415,sensor_1000,pressure,64.78,Factory-A,Line-1,OK
2026-04-26 10:39:19.496415,sensor_0144,humidity,22.86,Factory-C,Line-2,OK
2026-04-26 10:39:20.496415,sensor_0487,temperature,58.98,Factory-B,Line-3,OK
2026-04-26 10:39:21.496415,sensor_0983,pressure,83.2,Factory-C,Line-2,WARN
2026-04-26 10:39:22.496415,sensor_0870,humidity,59.09,Factory-B,Line-4,OK
2026-04-26 10:39:23.496415,sensor_0784,humidity,20.15,Factory-C,Line-2,OK
2026-04-26 10:39:24.496415,sensor_0675,pressure,110.49,Factory-B,Line-3,WARN
